City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,haiku-pauwela,20.9219,-156.3051,26.2,73,20,11.32,US,1690257828
245,axim,4.8699,-2.2405,24.48,91,100,2.46,GH,1690257829
246,nicoya,10.1483,-85.452,24.73,82,87,3.26,CR,1690257829
247,minas de marcona,-15.2119,-75.1103,12.2,87,59,6.61,PE,1690257829
248,wynyard,-41.0,145.7167,14.16,65,87,3.6,AU,1690257829
249,noumea,-22.2763,166.4572,21.11,99,97,5.1,NC,1690257566
250,oslo,59.9127,10.7461,14.83,99,100,1.28,NO,1690257651
251,arkhangel'sk,64.5401,40.5433,13.95,83,71,2.04,RU,1690257830
252,nogliki,51.8333,143.1667,16.83,80,58,5.03,RU,1690257830
253,olovyannaya,50.95,115.5667,23.93,56,87,1.81,RU,1690257830
254,omutinskiy,56.4745,67.6709,20.63,62,33,4.31,RU,1690257831
255,segou,13.4317,-6.2157,27.42,65,75,2.04,ML,1690257831
256,aktas,49.7789,72.9608,23.86,29,75,1.85,KZ,1690257831
257,aktau,43.65,51.2,26.32,61,100,11.21,KZ,1690257831
258,viedma,-40.8135,-62.9967,6.52,78,96,7.47,AR,1690257832
259,nchelenge,-9.3451,28.734,15.89,59,10,2.63,ZM,1690257832
260,vila velha,-20.3297,-40.2925,19.97,90,75,1.03,BR,1690257832
261,christchurch,-43.5333,172.6333,10.79,90,75,3.09,NZ,1690257632
262,chebba,35.2372,11.115,30.29,55,0,5.51,TN,1690257832
263,muynoq,43.7683,59.0214,32.93,31,18,5.06,UZ,1690257833
264,san jose del guaviare,2.5729,-72.6459,21.59,97,79,0.86,CO,1690257833
265,eureka,40.8021,-124.1637,17.89,85,24,0.89,US,1690257800
266,artigas,-30.4,-56.4667,11.57,95,99,5.76,UY,1690257782
267,sinop,41.7711,34.8709,17.33,66,0,1.67,TR,1690257833
268,sandnessjoen,66.0217,12.6316,13.06,94,75,2.06,NO,1690257834
269,ain sukhna,29.6002,32.3167,27.44,65,0,3.17,EG,1690257834
270,mermoz boabab,14.7065,-17.4758,25.31,76,77,1.21,SN,1690257834
271,luau,-10.7073,22.2247,15.57,50,0,1.72,AO,1690257834
272,copala,16.65,-98.9833,26.86,80,100,1.71,MX,1690257834
273,lebu,-37.6167,-73.65,12.34,90,100,6.12,CL,1690257689
274,santa isabel,-23.3156,-46.2214,19.49,63,47,0.69,BR,1690257752
275,cill airne,52.05,-9.5167,9.23,95,10,0.51,IE,1690257835
276,the pas,53.8251,-101.2541,20.01,60,75,2.57,CA,1690257835
277,marsh harbour,26.5412,-77.0636,29.46,71,3,3.03,BS,1690257835
278,puerto baquerizo moreno,-0.9,-89.6,24.41,88,19,6.7,EC,1690257623
279,pimentel,-6.8367,-79.9342,22.16,83,75,5.66,PE,1690257836
280,purbalingga,-7.3881,109.3639,29.57,59,16,2.21,ID,1690257836
281,gizo,-8.103,156.8419,26.44,84,97,7.09,SB,1690257836
282,kudahuvadhoo,2.6708,72.8944,28.13,78,97,3.45,MV,1690257694
283,khovd,48.0056,91.6419,21.29,31,31,2.38,MN,1690257653
284,dharmanagar,24.3667,92.1667,30.38,79,99,0.35,IN,1690257837
285,notse,6.95,1.1667,22.34,98,100,1.91,TG,1690257837
286,la ronge,55.1001,-105.2842,22.14,60,0,1.03,CA,1690257708
287,shingu,33.7333,135.9833,30.13,66,11,3.58,JP,1690257837
288,holualoa,19.6228,-155.9522,26.59,79,75,2.06,US,1690257837
289,crane,31.3974,-102.3501,31.18,26,0,5.53,US,1690257838
